,year_month,count
0,2015-01,0
1,2015-02,9
2,2015-03,10
3,2015-04,13
4,2015-05,6
5,2015-06,9
6,2015-07,7
7,2015-08,17
8,2015-09,9
9,2015-10,9
10,2015-11,7
11,2015-12,18
12,2016-01,0
13,2016-02,11
14,2016-03,10
15,2016-04,9
16,2016-05,12
17,2016-06,2
18,2016-07,12
19,2016-08,5
20,2016-09,6
21,2016-10,6
22,2016-11,10
23,2016-12,12
24,2017-01,0
25,2017-02,7
26,2017-03,11
27,2017-04,11
28,2017-05,11
29,2017-06,7
30,2017-07,10
31,2017-08,9
32,2017-09,5
33,2017-10,11
34,2017-11,7
35,2017-12,18
36,2018-01,0
37,2018-02,17
38,2018-03,9
39,2018-04,8
40,2018-05,10
41,2018-06,11
42,2018-07,12
43,2018-08,8
44,2018-09,4
45,2018-10,6
46,2018-11,6
47,2018-12,19
48,2019-01,0
49,2019-02,14
50,2019-03,6
51,2019-04,3
52,2019-05,6
53,2019-06,9
54,2019-07,14
55,2019-08,7
56,2019-09,13
57,2019-10,8
58,2019-11,9
59,2019-12,12
60,2020-01,0
61,2020-02,10
62,2020-03,12
63,2020-04,14
64,2020-05,7
65,2020-06,13
66,2020-07,6
67,2020-08,11
68,2020-09,8
69,2020-10,5
70,2020-11,5
71,2020-12,20
72,2021-01,0
73,2021-02,13
74,2021-03,3
75,2021-04,11
76,2021-05,4
77,2021-06,1
78,2021-07,6
79,2021-08,11
80,2021-09,7
81,2021-10,3
82,2021-11,10
83,2021-12,15
84,2022-01,0
85,2022-02,10
86,2022-03,9
87,2022-04,12
88,2022-05,3
89,2022-06,12
90,2022-07,2
91,2022-08,7
92,2022-09,6
93,2022-10,6
94,2022-11,7
95,2022-12,15
96,2023-01,0
97,2023-02,11
98,2023-03,5
99,2023-04,9
100,2023-05,5
101,2023-06,10
102,2023-07,13
103,2023-08,5
104,2023-09,6
105,2023-10,5
106,2023-11,5
107,2023-12,13
108,2024-01,0
109,2024-02,13
110,2024-03,7
111,2024-04,5
112,2024-05,6
113,2024-06,7
114,2024-07,4
115,2024-08,13
116,2024-09,1
117,2024-10,6
118,2024-11,8
119,2024-12,21
120,2025-01,0
121,2025-02,10
122,2025-03,12
123,2025-04,5
124,2025-05,9
125,2025-06,20
